replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	0	92	105	92	-0	0.543564	-0	0	0.875	0
0	10000	92	105	92	-0	0.498028	-0	0	0.890625	0
0	20000	92	105	92	-0	0.498028	-0	0	0.890625	0
0	30000	92	102	92	-0	0.498028	-0	0	0.890625	0
0	40000	92	103	92	-0	0.625262	-0	0	0.84375	0
0	50000	92	108	92	-0	0.857148	-0	0	0.71875	0
0	60000	92	107	92	-0	0.896038	-0	0	0.6875	0
0	70000	92	107	97	-0	0.896038	0.116115	0	0.6875	0.015625
0	80000	101	106	97	0.200622	0.912999	0.116115	0.03125	0.671875	0.015625
0	90000	92	108	98	-0	0.877437	0.116115	0	0.703125	0.015625
0	100000	92	108	100	-0	0.942163	0.116115	0	0.640625	0.015625
0	110000	99	108	98	0.200622	0.877437	0.116115	0.03125	0.703125	0.015625
0	120000	92	109	97	-0	0.974489	0.116115	0	0.59375	0.015625
0	130000	99	109	98	0.200622	0.999295	0.272971	0.03125	0.515625	0.046875
0	140000	99	109	98	0.116115	0.974489	0.200622	0.015625	0.59375	0.03125
0	150000	92	109	92	-0	0.974489	-0	0	0.59375	0
0	160000	96	105	101	0.116115	0.928362	0.272971	0.015625	0.65625	0.046875
0	170000	97	108	97	0.116115	0.988699	0.116115	0.015625	0.5625	0.015625
0	180000	100	109	100	0.272971	0.974489	0.272971	0.046875	0.59375	0.046875
0	190000	100	108	102	0.272971	0.999295	0.272971	0.046875	0.515625	0.046875
0	200000	103	107	100	0.33729	0.928362	0.272971	0.0625	0.65625	0.046875
0	210000	103	107	102	0.498028	0.942163	0.33729	0.109375	0.640625	0.0625
0	220000	101	108	103	0.272971	0.99718	0.272971	0.046875	0.53125	0.046875
0	230000	101	109	101	0.395538	1	0.448864	0.078125	0.5	0.09375
0	240000	100	108	101	0.272971	0.993651	0.395538	0.046875	0.453125	0.078125
0	250000	101	109	105	0.33729	0.993651	0.543564	0.0625	0.453125	0.125
0	260000	104	109	101	0.448864	0.988699	0.33729	0.09375	0.4375	0.0625
0	270000	104	107	102	0.585873	0.942163	0.448864	0.140625	0.359375	0.09375
0	280000	103	109	102	0.498028	0.99718	0.498028	0.109375	0.46875	0.109375
0	290000	105	109	102	0.585873	0.993651	0.33729	0.140625	0.453125	0.0625
0	300000	104	108	103	0.498028	0.993651	0.395538	0.109375	0.453125	0.078125
0	310000	102	106	102	0.543564	0.99718	0.543564	0.125	0.46875	0.125
0	320000	103	107	105	0.498028	0.928362	0.448864	0.109375	0.34375	0.09375
