replicate	generation	window	K	H	S
0	0	1	232	0.76278	907
0	0	2	184	1.12014	256
0	0	4	153	1.3694	64
0	0	8	135	1.49878	16
0	0	16	112	1.31128	4
0	0	32	84	2	4
0	0	64	78	-0	1
0	10000	1	428	0.76278	907
0	10000	2	301	1.70011	384
0	10000	4	246	2.90254	130
0	10000	8	200	3.52405	39
0	10000	16	108	3.75	16
0	10000	32	83	2	4
0	10000	64	78	-0	1
0	20000	1	467	0.76278	907
0	20000	2	322	1.78197	429
0	20000	4	261	3.13311	151
0	20000	8	218	4.13141	51
0	20000	16	109	3.375	16
0	20000	32	84	1.5	4
0	20000	64	78	-0	1
0	30000	1	492	0.76278	907
0	30000	2	331	1.80392	454
0	30000	4	268	3.20301	162
0	30000	8	218	4.27627	53
0	30000	16	110	3.45282	16
0	30000	32	85	2	4
0	30000	64	78	-0	1
0	40000	1	506	0.76278	907
0	40000	2	347	1.82719	478
0	40000	4	268	3.31761	177
0	40000	8	215	4.39203	57
0	40000	16	112	4	16
0	40000	32	85	1.5	4
0	40000	64	78	-0	1
0	50000	1	522	0.76278	907
0	50000	2	354	1.83106	495
0	50000	4	267	3.3469	188
0	50000	8	234	4.60116	57
0	50000	16	108	3.20282	16
0	50000	32	85	2	4
0	50000	64	78	-0	1
0	60000	1	545	0.76278	907
0	60000	2	360	1.83224	511
0	60000	4	268	3.35743	198
0	60000	8	233	4.66174	60
0	60000	16	111	3.75	16
0	60000	32	83	2	4
0	60000	64	78	-0	1
0	70000	1	550	0.76278	907
0	70000	2	371	1.8341	522
0	70000	4	268	3.39284	206
0	70000	8	229	4.72268	61
0	70000	16	110	3.875	16
0	70000	32	84	2	4
0	70000	64	78	-0	1
0	80000	1	551	0.76278	907
0	80000	2	373	1.83332	531
0	80000	4	271	3.35782	207
0	80000	8	231	4.55307	63
0	80000	16	110	3.70282	16
0	80000	32	85	2	4
0	80000	64	78	-0	1
0	90000	1	555	0.76278	907
0	90000	2	373	1.83123	528
0	90000	4	267	3.37384	205
0	90000	8	229	4.55967	62
0	90000	16	112	3.875	16
0	90000	32	84	1.5	4
0	90000	64	78	-0	1
0	100000	1	559	0.76278	907
0	100000	2	374	1.82266	555
0	100000	4	267	3.34631	217
0	100000	8	230	4.58367	63
0	100000	16	111	3.75	16
0	100000	32	86	1.5	4
0	100000	64	78	-0	1
0	110000	1	563	0.76278	907
0	110000	2	371	1.81908	560
0	110000	4	266	3.31662	219
0	110000	8	234	4.72837	63
0	110000	16	111	3.875	16
0	110000	32	86	2	4
0	110000	64	78	-0	1
0	120000	1	560	0.76278	907
0	120000	2	377	1.81481	558
0	120000	4	267	3.32606	217
0	120000	8	220	4.56991	62
0	120000	16	112	3.75	16
0	120000	32	85	2	4
0	120000	64	78	-0	1
0	130000	1	563	0.76278	907
0	130000	2	377	1.8161	561
0	130000	4	261	3.33185	220
0	130000	8	221	4.62893	63
0	130000	16	112	3.75	16
0	130000	32	85	1.5	4
0	130000	64	78	-0	1
0	140000	1	567	0.76278	907
0	140000	2	375	1.79876	581
0	140000	4	264	3.31027	216
0	140000	8	231	4.71658	63
0	140000	16	112	3.75	16
0	140000	32	86	2	4
0	140000	64	78	-0	1
0	150000	1	571	0.76278	907
0	150000	2	381	1.80066	579
0	150000	4	260	3.29063	224
0	150000	8	221	4.60493	61
0	150000	16	111	3.75	16
0	150000	32	85	1.5	4
0	150000	64	78	-0	1
0	160000	1	567	0.76278	907
0	160000	2	375	1.7897	583
0	160000	4	269	3.29354	224
0	160000	8	230	4.65408	63
0	160000	16	111	3.875	16
0	160000	32	85	2	4
0	160000	64	78	-0	1
0	170000	1	570	0.76278	907
0	170000	2	382	1.77658	595
0	170000	4	254	3.22048	228
0	170000	8	228	4.68533	63
0	170000	16	109	3.625	16
0	170000	32	85	2	4
0	170000	64	78	-0	1
0	180000	1	573	0.76278	907
0	180000	2	380	1.782	592
0	180000	4	261	3.21804	239
0	180000	8	210	4.44143	64
0	180000	16	110	3.875	16
0	180000	32	85	1.5	4
0	180000	64	78	-0	1
0	190000	1	577	0.76278	907
0	190000	2	385	1.77424	599
0	190000	4	254	3.16906	240
0	190000	8	214	4.43765	64
0	190000	16	112	3.75	16
0	190000	32	84	2	4
0	190000	64	78	-0	1
0	200000	1	571	0.76278	907
0	200000	2	392	1.787	586
0	200000	4	264	3.17234	235
0	200000	8	214	4.41526	64
0	200000	16	111	4	16
0	200000	32	85	1.5	4
0	200000	64	78	-0	1
0	210000	1	577	0.76278	907
0	210000	2	384	1.75843	606
0	210000	4	256	3.14369	241
0	210000	8	214	4.41784	64
0	210000	16	110	3.75	16
0	210000	32	86	2	4
0	210000	64	78	-0	1
0	220000	1	576	0.76278	907
0	220000	2	383	1.76501	602
0	220000	4	254	3.1553	241
0	220000	8	208	4.36804	64
0	220000	16	111	3.875	16
0	220000	32	86	2	4
0	220000	64	78	-0	1
0	230000	1	574	0.76278	907
0	230000	2	381	1.74124	616
0	230000	4	252	3.06637	245
0	230000	8	203	4.32212	64
0	230000	16	108	3.57782	16
0	230000	32	86	2	4
0	230000	64	78	-0	1
0	240000	1	579	0.76278	907
0	240000	2	382	1.76118	612
0	240000	4	255	3.074	239
0	240000	8	215	4.40796	64
0	240000	16	108	3.75	16
0	240000	32	85	2	4
0	240000	64	78	-0	1
0	250000	1	576	0.76278	907
0	250000	2	377	1.7172	635
0	250000	4	250	3.01694	243
0	250000	8	206	4.30206	64
0	250000	16	110	3.625	16
0	250000	32	86	2	4
0	250000	64	78	-0	1
0	260000	1	577	0.76278	907
0	260000	2	384	1.74093	625
0	260000	4	252	3.06513	240
0	260000	8	199	4.23759	64
0	260000	16	110	3.75	16
0	260000	32	85	2	4
0	260000	64	78	-0	1
0	270000	1	577	0.76278	907
0	270000	2	384	1.75607	605
0	270000	4	247	3.08377	237
0	270000	8	206	4.41431	64
0	270000	16	108	3.57782	16
0	270000	32	86	2	4
0	270000	64	78	-0	1
0	280000	1	574	0.76278	907
0	280000	2	383	1.72259	625
0	280000	4	245	2.99237	243
0	280000	8	196	4.09198	64
0	280000	16	111	3.75	16
0	280000	32	85	1.5	4
0	280000	64	78	-0	1
0	290000	1	587	0.76278	907
0	290000	2	389	1.73123	621
0	290000	4	253	3.03202	243
0	290000	8	210	4.37827	64
0	290000	16	111	3.57782	16
0	290000	32	85	2	4
0	290000	64	78	-0	1
0	300000	1	577	0.76278	907
0	300000	2	385	1.75054	603
0	300000	4	249	3.04406	244
0	300000	8	198	4.17328	64
0	300000	16	110	3.625	16
0	300000	32	85	2	4
0	300000	64	78	-0	1
0	310000	1	575	0.76278	907
0	310000	2	386	1.73001	625
0	310000	4	252	3.01553	243
0	310000	8	193	4.08523	64
0	310000	16	107	4	16
0	310000	32	85	2	4
0	310000	64	78	-0	1
0	320000	1	578	0.76278	907
0	320000	2	386	1.73022	630
