replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	0	92	97	92	-0	0.116115	-0	0	0.984375	0
0	1	92	92	92	-0	-0	-0	0	0	0
0	2	92	92	92	-0	-0	-0	0	0	0
0	3	92	92	92	-0	-0	-0	0	0	0
0	4	92	92	92	-0	-0	-0	0	0	0
0	5	92	92	92	-0	-0	-0	0	0	0
0	6	92	92	92	-0	-0	-0	0	0	0
0	7	92	92	92	-0	-0	-0	0	0	0
0	8	92	92	92	-0	-0	-0	0	0	0
0	9	92	92	92	-0	-0	-0	0	0	0
0	10	92	92	92	-0	-0	-0	0	0	0
0	11	92	92	92	-0	-0	-0	0	0	0
0	12	92	92	92	-0	-0	-0	0	0	0
0	13	92	92	92	-0	-0	-0	0	0	0
0	14	92	92	92	-0	-0	-0	0	0	0
0	15	92	92	92	-0	-0	-0	0	0	0
0	16	92	92	92	-0	-0	-0	0	0	0
0	17	92	92	92	-0	-0	-0	0	0	0
0	18	92	92	92	-0	-0	-0	0	0	0
0	19	92	92	92	-0	-0	-0	0	0	0
0	20	92	92	92	-0	-0	-0	0	0	0
0	21	92	92	92	-0	-0	-0	0	0	0
0	22	92	92	92	-0	-0	-0	0	0	0
0	23	92	92	92	-0	-0	-0	0	0	0
0	24	92	92	92	-0	-0	-0	0	0	0
0	25	92	92	92	-0	-0	-0	0	0	0
0	26	92	92	92	-0	-0	-0	0	0	0
0	27	92	92	92	-0	-0	-0	0	0	0
0	28	92	92	92	-0	-0	-0	0	0	0
0	29	92	92	92	-0	-0	-0	0	0	0
0	30	92	92	92	-0	-0	-0	0	0	0
0	31	92	92	92	-0	-0	-0	0	0	0
0	32	92	92	92	-0	-0	-0	0	0	0
0	33	92	92	92	-0	-0	-0	0	0	0
0	34	92	92	92	-0	-0	-0	0	0	0
0	35	92	92	92	-0	-0	-0	0	0	0
0	36	92	92	92	-0	-0	-0	0	0	0
0	37	92	92	92	-0	-0	-0	0	0	0
0	38	92	92	92	-0	-0	-0	0	0	0
0	39	92	92	92	-0	-0	-0	0	0	0
0	40	92	92	92	-0	-0	-0	0	0	0
0	41	92	92	92	-0	-0	-0	0	0	0
0	42	92	92	92	-0	-0	-0	0	0	0
0	43	92	92	92	-0	-0	-0	0	0	0
0	44	92	92	92	-0	-0	-0	0	0	0
0	45	92	92	92	-0	-0	-0	0	0	0
0	46	92	92	92	-0	-0	-0	0	0	0
0	47	92	92	92	-0	-0	-0	0	0	0
0	48	92	99	92	-0	0.116115	-0	0	0.015625	0
0	49	92	99	92	-0	0.116115	-0	0	0.015625	0
0	50	92	99	92	-0	0.116115	-0	0	0.015625	0
0	51	92	97	92	-0	0.200622	-0	0	0.03125	0
0	52	92	98	92	-0	0.200622	-0	0	0.03125	0
0	53	92	99	92	-0	0.116115	-0	0	0.015625	0
0	54	92	99	92	-0	0.116115	-0	0	0.015625	0
0	55	92	99	92	-0	0.116115	-0	0	0.015625	0
0	56	92	92	92	-0	-0	-0	0	0	0
0	57	92	99	92	-0	0.116115	-0	0	0.015625	0
0	58	92	99	92	-0	0.116115	-0	0	0.015625	0
0	59	92	98	92	-0	0.200622	-0	0	0.03125	0
0	60	92	98	92	-0	0.272971	-0	0	0.046875	0
0	61	92	101	92	-0	0.272971	-0	0	0.046875	0
0	62	92	92	92	-0	-0	-0	0	0	0
0	63	92	92	92	-0	-0	-0	0	0	0
0	64	92	92	92	-0	-0	-0	0	0	0
0	65	92	92	92	-0	-0	-0	0	0	0
0	66	92	92	92	-0	-0	-0	0	0	0
0	67	92	99	92	-0	0.116115	-0	0	0.015625	0
0	68	92	97	92	-0	0.200622	-0	0	0.03125	0
0	69	92	97	92	-0	0.200622	-0	0	0.03125	0
0	70	92	97	92	-0	0.200622	-0	0	0.03125	0
0	71	92	92	92	-0	-0	-0	0	0	0
0	72	92	92	92	-0	-0	-0	0	0	0
0	73	92	92	92	-0	-0	-0	0	0	0
0	74	92	92	92	-0	-0	-0	0	0	0
0	75	92	92	92	-0	-0	-0	0	0	0
0	76	92	92	92	-0	-0	-0	0	0	0
0	77	92	92	92	-0	-0	-0	0	0	0
0	78	92	92	92	-0	-0	-0	0	0	0
0	79	92	92	92	-0	-0	-0	0	0	0
0	80	92	92	92	-0	-0	-0	0	0	0
0	81	92	92	92	-0	-0	-0	0	0	0
0	82	92	92	92	-0	-0	-0	0	0	0
0	83	92	92	92	-0	-0	-0	0	0	0
0	84	92	92	92	-0	-0	-0	0	0	0
0	85	92	92	92	-0	-0	-0	0	0	0
0	86	92	92	92	-0	-0	-0	0	0	0
0	87	92	92	92	-0	-0	-0	0	0	0
0	88	92	92	92	-0	-0	-0	0	0	0
0	89	92	92	92	-0	-0	-0	0	0	0
0	90	92	92	92	-0	-0	-0	0	0	0
0	91	92	92	92	-0	-0	-0	0	0	0
0	92	92	92	92	-0	-0	-0	0	0	0
0	93	92	92	92	-0	-0	-0	0	0	0
0	94	92	92	92	-0	-0	-0	0	0	0
0	95	92	92	92	-0	-0	-0	0	0	0
0	96	92	92	92	-0	-0	-0	0	0	0
0	97	92	92	92	-0	-0	-0	0	0	0
0	98	92	92	92	-0	-0	-0	0	0	0
0	99	92	92	92	-0	-0	-0	0	0	0
0	100	92	92	92	-0	-0	-0	0	0	0
0	101	92	92	92	-0	-0	-0	0	0	0
0	102	92	92	92	-0	-0	-0	0	0	0
0	103	92	92	92	-0	-0	-0	0	0	0
0	104	92	92	92	-0	-0	-0	0	0	0
0	105	92	92	92	-0	-0	-0	0	0	0
0	106	92	92	92	-0	-0	-0	0	0	0
0	107	92	92	92	-0	-0	-0	0	0	0
0	108	92	92	92	-0	-0	-0	0	0	0
0	109	92	97	92	-0	0.116115	-0	0	0.015625	0
0	110	92	97	92	-0	0.116115	-0	0	0.015625	0
0	111	92	98	92	-0	0.272971	-0	0	0.046875	0
0	112	92	98	92	-0	0.272971	-0	0	0.046875	0
0	113	92	98	92	-0	0.200622	-0	0	0.03125	0
0	114	92	97	92	-0	0.200622	-0	0	0.03125	0
0	115	92	97	92	-0	0.200622	-0	0	0.03125	0
0	116	92	97	92	-0	0.116115	-0	0	0.015625	0
0	117	92	96	92	-0	0.116115	-0	0	0.015625	0
0	118	92	97	92	-0	0.200622	-0	0	0.03125	0
0	119	92	97	92	-0	0.200622	-0	0	0.03125	0
0	120	92	97	92	-0	0.272971	-0	0	0.046875	0
0	121	92	99	92	-0	0.272971	-0	0	0.046875	0
0	122	92	98	92	-0	0.33729	-0	0	0.0625	0
0	123	92	98	92	-0	0.33729	-0	0	0.0625	0
0	124	92	99	92	-0	0.272971	-0	0	0.046875	0
0	125	92	97	92	-0	0.272971	-0	0	0.046875	0
0	126	92	99	92	-0	0.33729	-0	0	0.0625	0
0	127	92	99	92	-0	0.272971	-0	0	0.046875	0
0	128	92	99	92	-0	0.272971	-0	0	0.046875	0
0	129	92	98	92	-0	0.200622	-0	0	0.03125	0
0	130	92	97	92	-0	0.116115	-0	0	0.015625	0
0	131	92	92	92	-0	-0	-0	0	0	0
0	132	92	92	92	-0	-0	-0	0	0	0
0	133	92	92	92	-0	-0	-0	0	0	0
0	134	92	92	92	-0	-0	-0	0	0	0
0	135	92	92	92	-0	-0	-0	0	0	0
0	136	92	92	92	-0	-0	-0	0	0	0
0	137	92	92	92	-0	-0	-0	0	0	0
0	138	92	92	92	-0	-0	-0	0	0	0
0	139	92	92	92	-0	-0	-0	0	0	0
0	140	92	92	92	-0	-0	-0	0	0	0
0	141	92	92	92	-0	-0	-0	0	0	0
0	142	92	92	92	-0	-0	-0	0	0	0
0	143	92	92	92	-0	-0	-0	0	0	0
0	144	92	92	92	-0	-0	-0	0	0	0
0	145	92	92	92	-0	-0	-0	0	0	0
0	146	92	92	92	-0	-0	-0	0	0	0
0	147	92	92	92	-0	-0	-0	0	0	0
0	148	92	92	92	-0	-0	-0	0	0	0
0	149	92	92	92	-0	-0	-0	0	0	0
0	150	92	92	92	-0	-0	-0	0	0	0
0	151	92	92	92	-0	-0	-0	0	0	0
0	152	92	92	92	-0	-0	-0	0	0	0
0	153	92	92	92	-0	-0	-0	0	0	0
0	154	92	92	92	-0	-0	-0	0	0	0
0	155	92	92	92	-0	-0	-0	0	0	0
0	156	92	92	92	-0	-0	-0	0	0	0
0	157	92	92	92	-0	-0	-0	0	0	0
0	158	92	92	92	-0	-0	-0	0	0	0
0	159	92	92	92	-0	-0	-0	0	0	0
0	160	92	92	92	-0	-0	-0	0	0	0
0	161	92	92	92	-0	-0	-0	0	0	0
0	162	92	92	92	-0	-0	-0	0	0	0
0	163	92	92	92	-0	-0	-0	0	0	0
0	164	92	92	92	-0	-0	-0	0	0	0
0	165	92	92	92	-0	-0	-0	0	0	0
0	166	92	92	92	-0	-0	-0	0	0	0
0	167	92	92	92	-0	-0	-0	0	0	0
0	168	92	92	92	-0	-0	-0	0	0	0
0	169	92	92	92	-0	-0	-0	0	0	0
0	170	92	92	92	-0	-0	-0	0	0	0
0	171	92	92	92	-0	-0	-0	0	0	0
0	172	92	92	92	-0	-0	-0	0	0	0
0	173	92	92	92	-0	-0	-0	0	0	0
0	174	92	92	92	-0	-0	-0	0	0	0
0	175	92	92	92	-0	-0	-0	0	0	0
0	176	92	92	92	-0	-0	-0	0	0	0
0	177	92	92	92	-0	-0	-0	0	0	0
0	178	92	92	92	-0	-0	-0	0	0	0
0	179	92	92	92	-0	-0	-0	0	0	0
0	180	92	92	92	-0	-0	-0	0	0	0
0	181	92	92	92	-0	-0	-0	0	0	0
0	182	97	92	92	0.116115	-0	-0	0.015625	0	0
0	183	97	92	92	0.200622	-0	-0	0.03125	0	0
0	184	97	92	92	0.200622	-0	-0	0.03125	0	0
0	185	97	92	92	0.272971	-0	-0	0.046875	0	0
0	186	98	92	92	0.272971	-0	-0	0.046875	0	0
0	187	98	92	92	0.33729	-0	-0	0.0625	0	0
0	188	98	92	92	0.33729	-0	-0	0.0625	0	0
0	189	98	92	92	0.33729	-0	-0	0.0625	0	0
0	190	99	92	92	0.395538	-0	-0	0.078125	0	0
0	191	99	92	92	0.395538	-0	-0	0.078125	0	0
0	192	98	92	92	0.33729	-0	-0	0.0625	0	0
0	193	99	92	92	0.272971	-0	-0	0.046875	0	0
0	194	98	92	92	0.272971	-0	-0	0.046875	0	0
0	195	100	92	92	0.200622	-0	-0	0.03125	0	0
0	196	98	92	92	0.200622	-0	-0	0.03125	0	0
0	197	99	92	92	0.116115	-0	-0	0.015625	0	0
0	198	99	92	92	0.116115	-0	-0	0.015625	0	0
0	199	99	92	92	0.116115	-0	-0	0.015625	0	0
0	200	92	92	92	-0	-0	-0	0	0	0
0	201	92	97	92	-0	0.116115	-0	0	0.015625	0
0	202	92	98	92	-0	0.200622	-0	0	0.03125	0
0	203	92	98	92	-0	0.200622	-0	0	0.03125	0
0	204	92	97	92	-0	0.116115	-0	0	0.015625	0
0	205	92	97	92	-0	0.116115	-0	0	0.015625	0
0	206	92	97	92	-0	0.200622	-0	0	0.03125	0
0	207	92	98	92	-0	0.33729	-0	0	0.0625	0
0	208	92	99	92	-0	0.33729	-0	0	0.0625	0
0	209	92	98	92	-0	0.200622	-0	0	0.03125	0
0	210	92	97	92	-0	0.200622	-0	0	0.03125	0
0	211	92	97	92	-0	0.200622	-0	0	0.03125	0
0	212	92	98	92	-0	0.395538	-0	0	0.078125	0
0	213	92	99	92	-0	0.543564	-0	0	0.125	0
0	214	92	101	92	-0	0.448864	-0	0	0.09375	0
0	215	92	102	92	-0	0.498028	-0	0	0.109375	0
0	216	92	101	92	-0	0.661976	-0	0	0.171875	0
0	217	92	103	92	-0	0.498028	-0	0	0.109375	0
0	218	92	102	92	-0	0.448864	-0	0	0.09375	0
0	219	92	101	92	-0	0.395538	-0	0	0.078125	0
0	220	92	103	92	-0	0.33729	-0	0	0.0625	0
0	221	92	98	92	-0	0.272971	-0	0	0.046875	0
0	222	92	97	92	-0	0.116115	-0	0	0.015625	0
0	223	92	97	92	-0	0.116115	-0	0	0.015625	0
0	224	92	98	92	-0	0.272971	-0	0	0.046875	0
0	225	92	101	92	-0	0.33729	-0	0	0.0625	0
0	226	92	103	92	-0	0.395538	-0	0	0.078125	0
0	227	92	103	92	-0	0.498028	-0	0	0.109375	0
0	228	92	101	92	-0	0.33729	-0	0	0.0625	0
0	229	92	102	92	-0	0.33729	-0	0	0.0625	0
0	230	92	104	92	-0	0.585873	-0	0	0.140625	0
0	231	92	99	92	-0	0.33729	-0	0	0.0625	0
0	232	92	102	92	-0	0.33729	-0	0	0.0625	0
0	233	92	101	92	-0	0.448864	-0	0	0.09375	0
