replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	0	92	105	92	-0	0.448864	-0	0	0.90625	0
0	1	92	92	92	-0	-0	-0	0	0	0
0	2	92	92	92	-0	-0	-0	0	0	0
0	3	92	92	92	-0	-0	-0	0	0	0
0	4	92	92	92	-0	-0	-0	0	0	0
0	5	92	92	92	-0	-0	-0	0	0	0
0	6	92	92	92	-0	-0	-0	0	0	0
0	7	92	92	92	-0	-0	-0	0	0	0
0	8	92	92	92	-0	-0	-0	0	0	0
0	9	92	92	92	-0	-0	-0	0	0	0
0	10	92	92	92	-0	-0	-0	0	0	0
0	11	92	92	92	-0	-0	-0	0	0	0
0	12	92	92	92	-0	-0	-0	0	0	0
0	13	92	92	92	-0	-0	-0	0	0	0
0	14	92	97	92	-0	0.448864	-0	0	0.09375	0
0	15	92	98	92	-0	0.448864	-0	0	0.09375	0
0	16	92	102	92	-0	0.728134	-0	0	0.203125	0
0	17	92	101	92	-0	0.395538	-0	0	0.078125	0
0	18	92	97	92	-0	0.272971	-0	0	0.046875	0
0	19	92	98	92	-0	0.272971	-0	0	0.046875	0
0	20	92	98	92	-0	0.272971	-0	0	0.046875	0
0	21	92	99	92	-0	0.272971	-0	0	0.046875	0
0	22	92	99	92	-0	0.200622	-0	0	0.03125	0
0	23	92	99	92	-0	0.116115	-0	0	0.015625	0
0	24	92	97	92	-0	0.272971	-0	0	0.046875	0
0	25	92	99	92	-0	0.395538	-0	0	0.078125	0
0	26	92	98	92	-0	0.448864	-0	0	0.09375	0
0	27	92	100	92	-0	0.272971	-0	0	0.046875	0
0	28	92	99	92	-0	0.200622	-0	0	0.03125	0
0	29	92	99	92	-0	0.116115	-0	0	0.015625	0
0	30	92	92	92	-0	-0	-0	0	0	0
0	31	92	97	92	-0	0.116115	-0	0	0.015625	0
0	32	92	97	92	-0	0.200622	-0	0	0.03125	0
0	33	92	97	92	-0	0.200622	-0	0	0.03125	0
0	34	92	97	92	-0	0.200622	-0	0	0.03125	0
0	35	92	97	92	-0	0.272971	-0	0	0.046875	0
0	36	92	100	92	-0	0.395538	-0	0	0.078125	0
0	37	92	99	92	-0	0.33729	-0	0	0.0625	0
0	38	92	100	92	-0	0.33729	-0	0	0.0625	0
0	39	92	99	92	-0	0.272971	-0	0	0.046875	0
0	40	92	98	92	-0	0.33729	-0	0	0.0625	0
0	41	92	97	92	-0	0.200622	-0	0	0.03125	0
0	42	92	98	92	-0	0.272971	-0	0	0.046875	0
0	43	92	99	92	-0	0.33729	-0	0	0.0625	0
0	44	92	100	92	-0	0.448864	-0	0	0.09375	0
0	45	92	101	92	-0	0.625262	-0	0	0.15625	0
0	46	92	100	92	-0	0.661976	-0	0	0.171875	0
0	47	92	101	92	-0	0.585873	-0	0	0.140625	0
0	48	92	103	92	-0	0.835116	-0	0	0.265625	0
0	49	92	101	92	-0	0.448864	-0	0	0.09375	0
0	50	92	102	92	-0	0.543564	-0	0	0.125	0
0	51	92	101	92	-0	0.585873	-0	0	0.140625	0
0	52	92	101	92	-0	0.625262	-0	0	0.15625	0
0	53	92	101	92	-0	0.585873	-0	0	0.140625	0
0	54	92	102	92	-0	0.585873	-0	0	0.140625	0
0	55	92	100	92	-0	0.585873	-0	0	0.140625	0
0	56	92	100	92	-0	0.625262	-0	0	0.15625	0
0	57	92	101	92	-0	0.585873	-0	0	0.140625	0
0	58	92	102	92	-0	0.543564	-0	0	0.125	0
0	59	92	102	92	-0	0.625262	-0	0	0.15625	0
0	60	92	102	92	-0	0.585873	-0	0	0.140625	0
0	61	92	101	92	-0	0.696212	-0	0	0.1875	0
0	62	92	102	92	-0	0.585873	-0	0	0.140625	0
0	63	92	103	92	-0	0.661976	-0	0	0.171875	0
0	64	92	103	92	-0	0.661976	-0	0	0.171875	0
