replicate	generation	window	K	H	S
0	0	1	212	0.774127	933
0	0	2	183	1.08349	256
0	0	4	153	1.31962	64
0	0	8	134	1.51823	16
0	0	16	104	1.18628	4
0	0	32	84	1.5	4
0	0	64	80	-0	1
0	1	1	147	0.18465	115
0	1	2	147	0.397923	66
0	1	4	150	0.891232	39
0	1	8	144	1.8367	22
0	1	16	105	2.875	12
0	1	32	84	1.5	4
0	1	64	78	-0	1
0	2	1	167	0.359771	280
0	2	2	168	0.640952	105
0	2	4	173	1.32258	57
0	2	8	162	2.46122	28
0	2	16	107	3.20282	12
0	2	32	86	2	4
0	2	64	79	-0	1
0	3	1	209	0.277199	196
0	3	2	183	0.575908	109
0	3	4	159	1.15902	58
0	3	8	152	2.2342	28
0	3	16	104	2.95282	12
0	3	32	85	2	4
0	3	64	78	-0	1
0	4	1	221	0.49209	440
0	4	2	202	0.914261	164
0	4	4	186	1.32732	55
0	4	8	168	2.47458	28
0	4	16	109	3.07782	12
0	4	32	85	2	4
0	4	64	79	-0	1
0	5	1	238	0.278252	197
0	5	2	196	0.655594	122
0	5	4	171	1.31207	64
0	5	8	150	2.20139	28
0	5	16	104	2.875	12
0	5	32	85	2	4
0	5	64	78	-0	1
0	6	1	248	0.456015	393
0	6	2	223	0.929734	162
0	6	4	188	1.83346	84
0	6	8	165	2.45512	28
0	6	16	107	3.07782	12
0	6	32	85	2	4
0	6	64	78	-0	1
0	7	1	267	0.367997	289
0	7	2	221	0.804283	168
0	7	4	171	1.5004	85
0	7	8	151	2.26803	28
0	7	16	107	2.95282	12
0	7	32	86	2	4
0	7	64	79	-0	1
0	8	1	278	0.572326	555
0	8	2	237	1.17599	228
0	8	4	207	1.97735	86
0	8	8	172	2.71024	29
0	8	16	110	3.45282	13
0	8	32	86	2	4
0	8	64	80	-0	1
0	9	1	286	0.315941	234
0	9	2	225	0.79325	156
0	9	4	182	1.60193	80
0	9	8	165	2.69203	34
0	9	16	106	3.07782	13
0	9	32	86	2	4
0	9	64	78	-0	1
0	10	1	290	0.413535	341
0	10	2	242	0.904574	156
0	10	4	206	1.86594	81
0	10	8	173	3.02866	35
0	10	16	107	3.07782	12
0	10	32	86	1.5	4
0	10	64	79	-0	1
0	11	1	291	0.338243	257
0	11	2	230	0.821303	160
0	11	4	196	1.72695	85
0	11	8	166	2.6946	34
0	11	16	108	2.95282	12
0	11	32	86	2	4
0	11	64	78	-0	1
0	12	1	290	0.403314	329
0	12	2	234	0.936674	167
0	12	4	200	1.7845	78
0	12	8	169	2.75649	31
0	12	16	106	3.25	12
0	12	32	85	2	4
0	12	64	79	-0	1
0	13	1	288	0.328645	247
0	13	2	236	0.80124	149
0	13	4	193	1.67885	79
0	13	8	168	2.5633	31
0	13	16	106	2.95282	12
0	13	32	85	2	4
0	13	64	78	-0	1
0	14	1	296	0.3903	314
0	14	2	242	0.922915	166
0	14	4	204	1.88907	86
0	14	8	174	2.74626	31
0	14	16	106	3.375	12
0	14	32	86	2	4
0	14	64	79	-0	1
0	15	1	302	0.355154	275
0	15	2	239	0.866283	172
0	15	4	193	1.85675	91
0	15	8	165	2.59959	31
0	15	16	105	3.25	12
0	15	32	85	2	4
0	15	64	79	-0	1
0	16	1	312	0.39814	323
0	16	2	254	0.951231	175
0	16	4	210	1.9749	90
0	16	8	173	2.82469	31
0	16	16	109	3.07782	12
0	16	32	85	2	4
0	16	64	79	-0	1
0	17	1	313	0.357928	278
0	17	2	245	0.862701	159
0	17	4	204	1.81285	82
0	17	8	170	2.6765	31
0	17	16	108	3.375	12
0	17	32	86	2	4
0	17	64	79	-0	1
0	18	1	320	0.362525	283
0	18	2	249	0.893205	164
0	18	4	204	1.78869	81
0	18	8	175	2.90646	33
0	18	16	106	3.32782	13
0	18	32	85	1.5	4
0	18	64	79	-0	1
0	19	1	317	0.342041	261
0	19	2	242	0.866028	162
0	19	4	209	1.78396	81
0	19	8	167	2.82672	33
0	19	16	107	3.75	14
0	19	32	84	2	4
0	19	64	79	-0	1
0	20	1	314	0.333463	252
0	20	2	243	0.83607	155
0	20	4	204	1.75941	81
0	20	8	172	3.02866	35
0	20	16	106	3.32782	14
0	20	32	85	2	4
0	20	64	77	-0	1
0	21	1	320	0.343931	263
0	21	2	244	0.842893	153
0	21	4	207	1.72317	76
0	21	8	175	2.95121	34
0	21	16	109	3.32782	13
0	21	32	87	2	4
0	21	64	79	-0	1
0	22	1	321	0.35608	276
0	22	2	245	0.876108	160
0	22	4	208	1.76976	79
0	22	8	175	2.95782	33
0	22	16	108	3.20282	13
0	22	32	86	2	4
0	22	64	79	-0	1
0	23	1	323	0.357005	277
0	23	2	253	0.87113	160
0	23	4	208	1.80069	82
0	23	8	176	3.16976	36
0	23	16	108	3.875	14
0	23	32	86	2	4
0	23	64	79	-0	1
0	24	1	338	0.363441	284
0	24	2	255	0.900466	170
0	24	4	207	1.81543	85
0	24	8	175	3.01879	35
0	24	16	106	3.57782	13
0	24	32	85	2	4
0	24	64	79	-0	1
0	25	1	332	0.377908	300
0	25	2	257	0.945901	180
0	25	4	206	1.93381	92
0	25	8	181	3.14875	36
0	25	16	110	3.57782	13
0	25	32	86	2	4
0	25	64	79	-0	1
0	26	1	336	0.375221	297
0	26	2	260	0.937541	180
0	26	4	202	1.88574	89
0	26	8	176	3.10154	37
0	26	16	109	3.70282	13
0	26	32	86	2	4
0	26	64	79	-0	1
0	27	1	334	0.389423	313
0	27	2	254	0.975011	191
0	27	4	214	1.90448	87
0	27	8	179	3.13312	39
0	27	16	107	3.875	14
0	27	32	86	2	4
0	27	64	79	-0	1
0	28	1	342	0.378801	301
0	28	2	256	0.935229	179
0	28	4	207	1.85451	84
0	28	8	176	3.12366	38
0	28	16	108	3.5	14
0	28	32	87	2	4
0	28	64	79	-0	1
0	29	1	340	0.377908	300
0	29	2	260	0.934615	177
0	29	4	217	1.88812	88
0	29	8	178	3.17023	38
0	29	16	109	3.5	14
0	29	32	86	2	4
0	29	64	79	-0	1
0	30	1	335	0.389423	313
0	30	2	258	0.954908	180
0	30	4	210	1.88095	86
0	30	8	178	3.23297	39
0	30	16	108	3.57782	14
0	30	32	88	2	4
0	30	64	79	-0	1
0	31	1	336	0.375221	297
0	31	2	256	0.922802	177
0	31	4	208	1.89067	90
0	31	8	178	3.27117	41
0	31	16	109	3.625	14
0	31	32	86	1.5	4
