replicate	generation	window	K	H	S
0	0	1	430	0.47085	412
0	0	2	299	1.16424	354
0	0	4	204	2.16834	211
0	0	8	164	3.11115	64
0	0	16	105	3.125	16
0	0	32	87	2	4
0	0	64	79	-0	1
1	0	1	548	0.720363	816
1	0	2	372	1.61913	599
1	0	4	232	2.67348	250
1	0	8	180	3.65491	64
1	0	16	104	3.75	16
1	0	32	86	2	4
1	0	64	80	-0	1
2	0	1	616	0.863995	1173
2	0	2	385	1.79921	760
2	0	4	234	2.7587	255
2	0	8	186	3.58977	64
2	0	16	105	3.5	16
2	0	32	86	2	4
2	0	64	80	-0	1
3	0	1	669	0.967055	1612
3	0	2	408	2.02597	870
3	0	4	250	3.03661	256
3	0	8	185	3.82086	64
3	0	16	105	3.75	16
3	0	32	86	2	4
3	0	64	80	-0	1
4	0	1	683	0.999917	2070
4	0	2	413	2.06489	951
4	0	4	245	2.89096	256
4	0	8	187	3.58618	64
4	0	16	108	3.45282	16
4	0	32	86	2	4
4	0	64	80	-0	1
5	0	1	677	0.973135	2442
5	0	2	408	2.02139	997
5	0	4	251	2.96188	256
5	0	8	181	3.84031	64
5	0	16	104	3.45282	16
5	0	32	85	1.5	4
5	0	64	79	-0	1
6	0	1	641	0.881946	2865
6	0	2	392	1.85051	1020
6	0	4	239	2.86971	256
6	0	8	189	3.73752	64
6	0	16	111	3.625	16
6	0	32	87	2	4
6	0	64	80	-0	1
7	0	1	550	0.728134	3264
7	0	2	376	1.62042	1021
7	0	4	229	2.64789	256
7	0	8	177	3.32228	64
7	0	16	108	3.625	16
7	0	32	87	2	4
7	0	64	80	-0	1
8	0	1	437	0.480042	3672
8	0	2	295	1.1689	1024
8	0	4	199	2.18146	256
8	0	8	171	3.25661	64
8	0	16	107	3.375	16
8	0	32	85	2	4
8	0	64	80	-0	1
